No,Animal_ID,Final_result,MERS_RNA_copiesPerml,Bionote_result,Viral Isolation
880,L00011096,Negative,,Negative,Negative
881,L00011095,Negative,,Negative,Negative
882,L00011094,Negative,,Negative,Negative
883,L00011093,Negative,,Negative,Negative
884,L00011092,Negative,,Negative,Negative
885,L00011091,Negative,,Negative,Negative
886,L00011090,Negative,,Negative,Negative
887,L00011089,Negative,,Negative,Negative
888,L00011088,Negative,,Negative,Negative
889,L00011087,Negative,,Negative,Negative
890,L00011086,Negative,,Negative,Negative
891,L00011085,Negative,,Negative,Negative
892,L00011084,Negative,,Negative,Negative
893,L00011083,Negative,,Negative,Negative
894,L00011082,Negative,,Negative,Negative
895,L00011081,Positive,2.95E+04,Negative,Negative
896,L00011080,Negative,,Negative,Negative
897,L00011079,Negative,,Negative,Negative
898,L00011078,Negative,,Negative,Negative
899,L00011077,Negative,,Negative,Negative
900,L00011076,Negative,,Negative,Negative
901,L00011075,Negative,,Negative,Negative
902,L00011074,Negative,,Negative,Negative
903,L00011073,Negative,,Negative,Negative
904,L00011072,Negative,,Negative,Negative
905,L00011071,Negative,,Negative,Negative
906,L00011070,Negative,,Negative,Negative
907,L00011069,Negative,,Negative,Negative
908,L00011068,Negative,,Negative,Negative
909,L00011067,Negative,,Negative,Negative
910,L00011066,Negative,,Negative,Negative
911,L00011065,Negative,,Negative,Negative
912,L00011064,Negative,,Negative,Negative
913,L00011063,Negative,,Negative,Negative
914,L00011062,Negative,,Negative,Negative
915,L00011061,Negative,,Negative,Negative
916,L00011060,Negative,,Negative,Negative
917,L00011059,Negative,,Negative,Negative
918,L00011058,Negative,,Negative,Negative
919,L00011057,Negative,,Negative,Negative
920,L00011056,Negative,,Negative,Negative
921,L00011055,Negative,,Negative,Negative
922,L00011054,Negative,,Negative,Negative
923,L00011053,Negative,,Negative,Negative
924,L00011052,Negative,,Negative,Negative
925,L00011051,Negative,,Negative,Negative
926,L00011050,Negative,,Negative,Negative
927,L00011049,Negative,,Negative,Negative
928,L00011048,Negative,,Negative,Negative
929,L00011047,Negative,,Negative,Negative
930,L00011046,Negative,,Negative,Negative
931,L00011045,Negative,,Negative,Negative
932,L00011044,Negative,,Negative,Negative
933,L00011043,Negative,,Negative,Negative
934,L00011042,Negative,,Negative,Negative
935,L00011041,Negative,,Negative,Negative
936,L00011040,Negative,,Negative,Negative
937,L00011039,Negative,,Negative,Negative
938,L00011038,Negative,,Negative,Negative
939,L00011036,Negative,,Negative,Negative
940,L00011035,Negative,,Negative,Negative
941,L00011034,Negative,,Negative,Negative
942,L00011033,Negative,,Negative,Negative
943,L00011032,Negative,,Negative,Negative
944,L00011031,Negative,,Negative,Negative
945,L00011030,Negative,,Negative,Negative
946,L00011029,Negative,,Negative,Negative
947,L00011028,Negative,,Negative,Negative
948,L00011027,Negative,,Negative,Negative
949,L00011026,Negative,,Negative,Negative
950,L00011025,Negative,,Negative,Negative
951,L00011024,Negative,,Negative,Negative
952,L00011023,Negative,,Negative,Negative
953,L00011022,Negative,,Negative,Negative
954,L00011021,Negative,,Negative,Negative
955,L00011020,Negative,,Negative,Negative
956,L00011019,Negative,,Negative,Negative
957,L00011018,Negative,,Negative,Negative
958,L00011017,Negative,,Negative,Negative
959,L00011016,Negative,,Negative,Negative
960,L00011015,Negative,,Negative,Negative
961,L00011014,Negative,,Negative,Negative
962,L00011013,Negative,,Negative,Negative
963,L00011012,Negative,,Negative,Negative
964,L00011011,Negative,,Negative,Negative
965,L00011010,Negative,,Negative,Negative
966,L00011009,Negative,,Negative,Negative
967,L00011008,Negative,,Negative,Negative
968,L00011007,Negative,,Negative,Negative
969,L00011006,Negative,,Negative,Negative
970,L00011005,Negative,,Negative,Negative
971,L00011004,Negative,,Negative,Negative
972,L00011003,Negative,,Negative,Negative
973,L00011002,Negative,,Negative,Negative
974,L00011000,Negative,,Negative,Negative
975,L00010999,Negative,,Negative,Negative
976,L00010998,Negative,,Negative,Negative
977,L00010997,Negative,,Negative,Negative
978,L00010996,Negative,,Negative,Negative
979,L00010995,Negative,,Negative,Negative
980,L00010994,Negative,,Negative,Negative
981,L00010993,Negative,,Negative,Negative
982,L00010992,Negative,,Negative,Negative
983,L00011390,Negative,,Negative,Negative
984,L00011391,Negative,,Negative,Negative
985,L00011392,Negative,,Negative,Negative
986,L00011393,Negative,,Negative,Negative
987,L00011394,Negative,,Negative,Negative
988,L00011395,Negative,,Negative,Negative
989,L00011396,Negative,,Negative,Negative
990,L00011397,Negative,,Negative,Negative
991,L00011398,Negative,,Negative,Negative
992,L00011399,Negative,,Negative,Negative
993,L00011400,Negative,,Negative,Negative
994,L00011401,Negative,,Negative,Negative
995,L00011403,Negative,,Negative,Negative
996,L00011404,Negative,,Negative,Negative
997,L00011405,Negative,,Negative,Negative
998,L00011406,Negative,,Negative,Negative
999,L00011407,Negative,,Negative,Negative
1000,L00011408,Negative,,Negative,Negative
1001,L00011409,Negative,,Negative,Negative
1002,L00011410,Negative,,Negative,Negative
1003,L00011411,Negative,,Negative,Negative
1004,L00011412,Negative,,Negative,Negative
1005,L00011413,Negative,,Negative,Negative
1006,L00011414,Negative,,Negative,Negative
1007,L00011415,Negative,,Negative,Negative
1008,L00011416,Negative,,Negative,Negative
1009,L00011417,Negative,,Negative,Negative
1010,L00011418,Positive,4.95E+06,Positive,Negative
1011,L00011419,Negative,,Negative,Negative
1012,L00011420,Negative,,Negative,Negative
1013,L00011421,Negative,,Negative,Negative
1014,L00011422,Negative,,Negative,Negative
1015,L00011423,Negative,,Negative,Negative
1016,L00011424,Negative,,Negative,Negative
1017,L00011425,Negative,,Negative,Negative
1018,L00011426,Negative,,Negative,Negative
1019,L00011427,Negative,,Negative,Negative
1020,L00011428,Negative,,Negative,Negative
1021,L00011429,Negative,,Negative,Negative
1022,L00011430,Negative,,Negative,Negative
1023,L00011431,Negative,,Negative,Negative
1024,L00011432,Negative,,Negative,Negative
1025,L00011433,Negative,,Negative,Negative
1026,L00011434,Negative,,Negative,Negative
1027,L00011435,Negative,,Negative,Negative
1028,L00011436,Negative,,Negative,Negative
1029,L00011437,Negative,,Negative,Negative
1030,L00011438,Negative,,Negative,Negative
1031,L00011439,Negative,,Negative,Negative
1032,L00011440,Negative,,Negative,Negative
1033,L00011441,Negative,,Negative,Negative
1034,L00011442,Negative,,Negative,Negative
1035,L00011443,Negative,,Negative,Negative
1036,L00011444,Negative,,Negative,Negative
1037,L00011445,Negative,,Negative,Negative
1038,L00011446,Negative,,Negative,Negative
1039,L00011447,Negative,,Negative,Negative
1040,L00011448,Negative,,Negative,Negative
1041,L00011449,Negative,,Negative,Negative
1042,L00011450,Negative,,Negative,Negative
1043,L00011451,Negative,,Negative,Negative
1044,L00011452,Negative,,Negative,Negative
1045,L00011453,Negative,,Negative,Negative
1046,L00011454,Negative,,Negative,Negative
1047,L00011455,Negative,,Negative,Negative
1048,L00011456,Negative,,Negative,Negative
1049,L00011457,Negative,,Negative,Negative
1050,L00011458,Negative,,Negative,Negative
1051,L00011459,Negative,,Negative,Negative
1052,L00011460,Negative,,Negative,Negative
1053,L00011461,Negative,,Negative,Negative
1054,L00011462,Negative,,Negative,Negative
1055,L00011463,Negative,,Negative,Negative
1056,L00011464,Negative,,Negative,Negative
1057,L00011465,Negative,,Negative,Negative
1058,L00011466,Negative,,Negative,Negative
1059,L00011467,Negative,,Negative,Negative
1060,L00011468,Negative,,Negative,Negative
1061,L00011469,Negative,,Negative,Negative
1062,L00011470,Negative,,Negative,Negative
1063,L00011471,Negative,,Negative,Negative
1064,L00011472,Negative,,Negative,Negative
1065,L00011473,Negative,,Negative,Negative
1066,L00011474,Negative,,Negative,Negative
1067,L00011475,Negative,,Negative,Negative
1068,L00011476,Negative,,Negative,Negative
1069,L00011477,Negative,,Negative,Negative
1070,L00011478,Negative,,Negative,Negative
1071,L00011479,Negative,,Negative,Negative
1072,L00011480,Negative,,Negative,Negative
1073,L00011481,Negative,,Negative,Negative
1074,L00011482,Negative,,Negative,Negative
1075,L00011483,Negative,,Negative,Negative
1076,L00011484,Negative,,Negative,Negative
1077,L00011485,Negative,,Negative,Negative
1078,L00011486,Negative,,Negative,Negative
1079,L00011487,Negative,,Negative,Negative
1080,L00011488,Negative,,Negative,Negative
1081,L00011489,Negative,,Negative,Negative
1082,L00011490,Negative,,Negative,Negative
1083,L00011491,Negative,,Negative,Negative
1084,L00011492,Negative,,Negative,Negative
1085,L00011493,Negative,,Negative,Negative
1086,L00011494,Negative,,Negative,Negative
1087,L00011495,Negative,,Negative,Negative
1088,L00011496,Negative,,Negative,Negative
1089,L00011497,Negative,,Negative,Negative
1090,L00011498,Negative,,Negative,Negative
1091,L00011499,Negative,,Negative,Negative
1092,L00011500,Negative,,Negative,Negative
1093,L00011501,Negative,,Negative,Negative
1094,L00011502,Negative,,Negative,Negative
1095,L00011503,Negative,,Negative,Negative
1096,L00011504,Negative,,Negative,Negative
1097,L00011505,Positive,1.26E+06,Negative,Negative
1098,L00011506,Negative,,Negative,Negative
1099,L00011507,Negative,,Negative,Negative
1100,L00011508,Negative,,Negative,Negative
1101,L00011509,Negative,,Negative,Negative
1102,L00011510,Negative,,Negative,Negative
1103,L00011511,Negative,,Negative,Negative
1104,L00011512,Negative,,Negative,Negative
1105,L00011513,Negative,,Negative,Negative
1106,L00011514,Negative,,Negative,Negative
1107,L00011515,Negative,,Negative,Negative
1108,L00011516,Negative,,Negative,Negative
1109,L00011517,Negative,,Negative,Negative
1110,L00011518,Negative,,Negative,Negative
1111,L00011519,Negative,,Negative,Negative
1112,L00011520,Positive,1.49E+03,Negative,Negative
1113,L00011521,Negative,,Negative,Negative
1114,L00011522,Negative,,Negative,Negative
1115,L00011523,Positive,6.22E+03,Negative,Negative
1116,L00011524,Negative,,Negative,Negative
1117,L00011525,Negative,,Negative,Negative
1118,L00011526,Negative,,Negative,Negative
1119,L00011527,Negative,,Negative,Negative
1120,L00011528,Negative,,Negative,Negative
1121,L00011529,Negative,,Negative,Negative
1122,L00011530,Positive,3.76E+04,Negative,Negative
1123,L00011531,Negative,,Negative,Negative
1124,L00011532,Negative,,Negative,Negative
1125,L00011533,Negative,,Negative,Negative
1126,L00011534,Negative,,Negative,Negative
1127,L00011535,Negative,,Negative,Negative
1128,L00011536,Negative,,Negative,Negative
1129,L00011538,Negative,,Negative,Negative
1130,L00011539,Negative,,Negative,Negative
1131,L00011540,Negative,,Negative,Negative
1132,L00011541,Negative,,Negative,Negative
1133,L00011542,Positive,4.29E+04,Negative,Negative
1134,L00011543,Positive,7.85E+03,Negative,Negative
1135,L00011544,Negative,,Negative,Negative
1136,L00011545,Negative,,Negative,Negative
1137,L00011546,Negative,,Negative,Negative
1138,L00011547,Negative,,Negative,Negative
1139,L00011548,Negative,,Negative,Negative
1140,L00011549,Positive,1.36E+05,Negative,Negative
1141,L00011550,Negative,,Negative,Negative
1142,L00011551,Positive,1.49E+03,Negative,Negative
1143,L00011552,Negative,,Negative,Negative
1144,L00011553,Negative,,Negative,Negative
1145,L00011554,Negative,,Negative,Negative
1146,L00011555,Negative,,Negative,Negative
1147,L00011556,Negative,,Negative,Negative
1148,L00011557,Negative,,Negative,Negative
1149,L00011558,Negative,,Negative,Negative
1150,L00011559,Negative,,Negative,Negative
1151,L00011560,Negative,,Negative,Negative
1152,L00011561,Negative,,Negative,Negative
1153,L00011562,Negative,,Negative,Negative
1154,L00011563,Negative,,Negative,Negative
1155,L00011564,Negative,,Negative,Negative
1156,L00011565,Negative,,Negative,Negative
1157,L00011566,Negative,,Negative,Negative
1158,L00011567,Negative,,Negative,Negative
1159,L00011568,Negative,,Negative,Negative
1160,L00011569,Negative,,Negative,Negative
1161,L00011570,Negative,,Negative,Negative
1162,L00011571,Negative,,Negative,Negative
1163,L00011572,Negative,,Negative,Negative
1164,L00011573,Negative,,Negative,Negative
1165,L00011574,Negative,,Negative,Negative
1166,L00011575,Negative,,Negative,Negative
1167,L00011576,Positive,3.64E+03,Negative,Negative
1168,L00011577,Negative,,Negative,Negative
1169,L00011578,Negative,,Negative,Negative
1170,L00011579,Negative,,Negative,Negative
1171,L00011580,Negative,,Negative,Negative
1172,L00011581,Negative,,Negative,Negative
1173,L00011582,Negative,,Negative,Negative
1174,L00011583,Negative,,Negative,Negative
1175,L00011584,Negative,,Negative,Negative
1176,L00011585,Negative,,Negative,Negative
1177,L00011586,Negative,,Negative,Negative
1178,L00011587,Negative,,Negative,Negative
1179,L00011588,Negative,,Negative,Negative
1180,L00011589,Negative,,Negative,Negative
1181,L00011590,Negative,,Negative,Negative
1182,L00011591,Negative,,Negative,Negative
1183,L00011592,Negative,,Negative,Negative
1184,L00011593,Negative,,Negative,Negative
1185,L00011594,Negative,,Negative,Negative
1186,L00011595,Positive,3.49E+04,Negative,Negative
1187,L00011596,Negative,,Negative,Negative
1188,L00011597,Negative,,Negative,Negative
1189,L00011598,Negative,,Negative,Negative
1190,L00011599,Negative,,Negative,Negative
1191,L00011600,Negative,,Negative,Negative
1192,L00011601,Negative,,Negative,Negative
1193,L00011602,Negative,,Negative,Negative
1194,L00011603,Negative,,Negative,Negative
1195,L00011604,Negative,,Negative,Negative
1196,L00011605,Negative,,Negative,Negative
1197,L00011607,Negative,,Negative,Negative
1198,L00011609,Negative,,Negative,Negative
1199,L00011610,Negative,,Negative,Negative
1200,L00011611,Negative,,Negative,Negative
1201,L00011612,Negative,,Negative,Negative
1202,L00011613,Negative,,Negative,Negative
1203,L00011614,Negative,,Negative,Negative
1204,L00011615,Negative,,Negative,Negative
1205,L00011616,Negative,,Negative,Negative
1206,L00011617,Negative,,Negative,Negative
1207,L00011618,Negative,,Negative,Negative
1208,L00011619,Negative,,Negative,Negative
1209,L00011620,Negative,,Negative,Negative
1210,L00011621,Negative,,Negative,Negative
1211,L00011622,Positive,3.26E+05,Negative,Negative
1212,L00011623,Negative,,Negative,Negative
1213,L00011624,Negative,,Negative,Negative
1214,L00011625,Negative,,Negative,Negative
1215,L00011626,Negative,,Negative,Negative
1216,L00011627,Negative,,Negative,Negative
1217,L00011628,Negative,,Negative,Negative
1218,L00011629,Negative,,Negative,Negative
1219,L00011630,Negative,,Negative,Negative
1220,L00011631,Negative,,Negative,Negative
1221,L00011632,Negative,,Negative,Negative
1222,L00011633,Negative,,Negative,Negative
1223,L00011634,Negative,,Negative,Negative
1224,L00011635,Negative,,Negative,Negative
1225,L00011636,Negative,,Negative,Negative
1226,L00011637,Negative,,Negative,Negative
1227,L00011638,Negative,,Negative,Negative
1228,L00011639,Negative,,Negative,Negative
1229,L00011640,Negative,,Negative,Negative
1230,L00011641,Negative,,Negative,Negative
1231,L00011642,Negative,,Negative,Negative
1232,L00011643,Negative,,Negative,Negative
1233,L00011644,Negative,,Negative,Negative
1234,L00011645,Negative,,Negative,Negative
1235,L00011646,Negative,,Negative,Negative
1236,L00011647,Negative,,Negative,Negative
1237,L00011648,Negative,,Negative,Negative
1238,L00011649,Negative,,Negative,Negative
1239,L00011650,Negative,,Negative,Negative
1240,L00011651,Negative,,Negative,Negative
1241,L00011652,Negative,,Negative,Negative
1242,L00011653,Negative,,Negative,Negative
1243,L00011654,Negative,,Negative,Negative
1244,L00011655,Negative,,Negative,Negative
1245,L00011656,Negative,,Negative,Negative
1246,L00011657,Negative,,Negative,Negative
1247,L00011658,Negative,,Negative,Negative
1248,L00011659,Negative,,Negative,Negative
1249,L00011660,Negative,,Negative,Negative
1250,L00011661,Negative,,Negative,Negative
1251,L00011662,Negative,,Negative,Negative
1252,L00011663,Negative,,Negative,Negative
1253,L00011664,Negative,,Negative,Negative
1254,L00011665,Negative,,Negative,Negative
1255,L00011666,Negative,,Negative,Negative
1256,L00011667,Negative,,Negative,Negative
1257,L00011668,Negative,,Negative,Negative
1258,L00011669,Negative,,Negative,Negative
1259,L00011670,Negative,,Negative,Negative
1260,L00011671,Negative,,Negative,Negative
1261,L00011672,Negative,,Negative,Negative
1262,L00011673,Negative,,Negative,Negative
1263,L00011674,Negative,,Negative,Negative
1264,L00011675,Positive,6.78E+04,Negative,Negative
1265,L00011676,Negative,,Negative,Negative
1266,L00011677,Negative,,Negative,Negative
1267,L00011678,Negative,,Negative,Negative
1268,L00011679,Negative,,Negative,Negative
1269,L00011680,Negative,,Negative,Negative
1270,L00011681,Negative,,Negative,Negative
1271,L00011682,Negative,,Negative,Negative
1272,L00011683,Negative,,Negative,Negative
1273,L00011684,Negative,,Negative,Negative
1274,L00011685,Negative,,Negative,Negative
1275,L00011686,Negative,,Negative,Negative
1276,L00011687,Negative,,Negative,Negative
1277,L00011688,Negative,,Negative,Negative
1278,L00011689,Negative,,Negative,Negative
1279,L00011690,Negative,,Negative,Negative
1280,L00011691,Negative,,Negative,Negative
1281,L00011692,Negative,,Negative,Negative
1282,L00011693,Negative,,Negative,Negative
1283,L00011694,Negative,,Negative,Negative
1284,L00011695,Negative,,Negative,Negative
1285,L00011696,Negative,,Negative,Negative
1286,L00011697,Negative,,Negative,Negative
1287,L00011698,Negative,,Negative,Negative
1288,L00011699,Negative,,Negative,Negative
1289,L00011700,Negative,,Negative,Negative
1290,L00011701,Negative,,Negative,Negative
1291,L00011702,Negative,,Negative,Negative
1292,L00011703,Negative,,Negative,Negative
1293,L00011704,Negative,,Negative,Negative
1294,L00011705,Negative,,Negative,Negative
1295,L00011706,Negative,,Negative,Negative
1296,L00011707,Negative,,Negative,Negative
1297,L00011708,Negative,,Negative,Negative
1298,L00011709,Negative,,Negative,Negative
1299,L00011711,Negative,,Negative,Negative
1300,L00011712,Negative,,Negative,Negative
1301,L00011713,Negative,,Negative,Negative
1302,L00011714,Negative,,Negative,Negative
1303,L00011715,Negative,,Negative,Negative
1304,L00011716,Negative,,Negative,Negative
1305,L00011717,Negative,,Negative,Negative
1306,L00011744,Negative,,Negative,Negative
1307,L00011745,Negative,,Negative,Negative
1308,L00011746,Negative,,Negative,Negative
1309,L00011747,Negative,,Negative,Negative
1310,L00011748,Negative,,Negative,Negative
1311,L00011749,Negative,,Negative,Negative
1312,L00011750,Negative,,Negative,Negative
1313,L00011751,Negative,,Negative,Negative
1314,L00011752,Negative,,Negative,Negative
1315,L00011753,Negative,,Negative,Negative
1316,L00011754,Negative,,Negative,Negative
1317,L00011735,Negative,,Negative,Negative
1318,L00011734,Negative,,Negative,Negative
1319,L00011736,Negative,,Negative,Negative
1320,L00011737,Negative,,Negative,Negative
1321,L00011738,Negative,,Negative,Negative
1322,L00011740,Negative,,Negative,Negative
1323,L00011741,Negative,,Negative,Negative
1324,L00011742,Negative,,Negative,Negative
1325,L00011743,Negative,,Negative,Negative
1326,L00011739,Negative,,Negative,Negative
1327,L00011758,Negative,,Negative,Negative
1328,L00011759,Negative,,Negative,Negative
1329,L00011760,Negative,,Negative,Negative
1330,L00011755,Negative,,Negative,Negative
1331,L00011761,Negative,,Negative,Negative
1332,L00011762,Negative,,Negative,Negative
1333,L00011763,Negative,,Negative,Negative
1334,L00011764,Negative,,Negative,Negative
1335,L00011765,Negative,,Negative,Negative
1336,L00011766,Negative,,Negative,Negative
1337,L00011767,Negative,,Negative,Negative
1338,L00011768,Negative,,Negative,Negative
1339,L00011769,Negative,,Negative,Negative
1340,L00011770,Negative,,Negative,Negative
1341,L00011771,Negative,,Negative,Negative
1342,L00011772,Negative,,Negative,Negative
1343,L00011773,Negative,,Negative,Negative
1344,L00011774,Negative,,Negative,Negative
1345,L00011775,Negative,,Negative,Negative
1346,L00011776,Negative,,Negative,Negative
1347,L00011777,Negative,,Negative,Negative
1348,L00011778,Negative,,Negative,Negative
1349,L00011779,Negative,,Negative,Negative
1350,L00011780,Negative,,Negative,Negative
1351,L00011781,Negative,,Negative,Negative
1352,L00011782,Negative,,Negative,Negative
1353,L00011783,Negative,,Negative,Negative
1354,L00011784,Negative,,Negative,Negative
1355,L00011785,Negative,,Negative,Negative
1356,L00011786,Negative,,Negative,Negative
1357,L00011787,Negative,,Negative,Negative
1358,L00011788,Negative,,Negative,Negative
1359,L00011789,Negative,,Negative,Negative
1360,L00011790,Negative,,Negative,Negative
1361,L00011791,Negative,,Negative,Negative
1362,L00011792,Negative,,Negative,Negative
1363,L00011793,Negative,,Negative,Negative
1364,L00011794,Negative,,Negative,Negative
1365,L00011795,Negative,,Negative,Negative
1366,L00011796,Negative,,Negative,Negative
1367,L00011797,Negative,,Negative,Negative
1368,L00011798,Negative,,Negative,Negative
1369,L00011799,Negative,,Negative,Negative
1370,L00011800,Negative,,Negative,Negative
1371,L00011801,Negative,,Negative,Negative
1372,L00011802,Negative,,Negative,Negative
1373,L00011803,Negative,,Negative,Negative
1374,L00011804,Negative,,Negative,Negative
1375,L00011805,Negative,,Negative,Negative
1376,L00011806,Negative,,Negative,Negative
1377,L00011807,Negative,,Negative,Negative
1378,L00011808,Negative,,Negative,Negative
1379,L00011809,Negative,,Negative,Negative
1380,L00011810,Negative,,Negative,Negative
1381,L00011811,Negative,,Negative,Negative
1382,L00011812,Negative,,Negative,Negative
1383,L00011813,Negative,,Negative,Negative
1384,L00011814,Negative,,Negative,Negative
1385,L00011815,Negative,,Negative,Negative
1386,L00011816,Negative,,Negative,Negative
1387,L00011817,Negative,,Negative,Negative
1388,L00011818,Negative,,Negative,Negative
1389,L00011819,Negative,,Negative,Negative
1390,L00011820,Negative,,Negative,Negative
1391,L00011821,Negative,,Negative,Negative
1392,L00011822,Negative,,Negative,Negative
1393,L00011823,Negative,,Negative,Negative
1394,L00011824,Negative,,Negative,Negative
1395,L00011825,Negative,,Negative,Negative
1396,L00011826,Negative,,Negative,Negative
1397,L00011827,Negative,,Negative,Negative
1398,L00011828,Negative,,Negative,Negative
1399,L00011829,Negative,,Negative,Negative
1400,L00011830,Negative,,Negative,Negative
1401,L00011831,Negative,,Negative,Negative
1402,L00011832,Negative,,Negative,Negative
1403,L00011833,Negative,,Negative,Negative
1404,L00011834,Negative,,Negative,Negative
1405,L00011835,Negative,,Negative,Negative
1406,L00011836,Negative,,Negative,Negative
1407,L00011837,Negative,,Negative,Negative
1408,L00011838,Negative,,Negative,Negative
1409,L00011839,Negative,,Negative,Negative
1410,L00011840,Negative,,Negative,Negative
1411,L00011841,Negative,,Negative,Negative
1412,L00011842,Negative,,Negative,Negative
1413,L00011843,Negative,,Negative,Negative
1414,L00011844,Negative,,Negative,Negative
1415,L00011845,Negative,,Negative,Negative
1416,L00011846,Negative,,Negative,Negative
1417,L00011847,Negative,,Negative,Negative
1418,L00011848,Negative,,Negative,Negative
1419,L00011849,Negative,,Negative,Negative
1420,L00011850,Negative,,Negative,Negative
1421,L00011851,Negative,,Negative,Negative
1422,L00011852,Negative,,Negative,Negative
1423,L00011853,Negative,,Negative,Negative
1424,L00011854,Negative,,Negative,Negative
1425,L00011855,Negative,,Negative,Negative
1426,L00011856,Negative,,Negative,Negative
1427,L00011857,Negative,,Negative,Negative
1428,L00011858,Negative,,Negative,Negative
1429,L00011859,Negative,,Negative,Negative
1430,L00011860,Negative,,Negative,Negative
1431,L00011861,Negative,,Negative,Negative
1432,L00011862,Negative,,Negative,Negative
1433,L00011863,Negative,,Negative,Negative
1434,L00011864,Negative,,Negative,Negative
1435,L00011865,Negative,,Negative,Negative
1436,L00011866,Negative,,Negative,Negative
1437,L00011867,Negative,,Negative,Negative
1438,L00011868,Negative,,Negative,Negative
1439,L00011869,Negative,,Negative,Negative
1440,L00011870,Negative,,Negative,Negative
1441,L00011871,Negative,,Negative,Negative
1442,L00011872,Negative,,Negative,Negative
1443,L00011873,Negative,,Negative,Negative
1444,L00011874,Negative,,Negative,Negative
1445,L00011875,Negative,,Negative,Negative
1446,L00011876,Negative,,Negative,Negative
1447,L00011877,Negative,,Negative,Negative
1448,L00011878,Negative,,Negative,Negative
1449,L00011879,Negative,,Negative,Negative
1450,L00011880,Negative,,Negative,Negative
1451,L00011881,Negative,,Negative,Negative
1452,L00011882,Negative,,Negative,Negative
1453,L00011883,Negative,,Negative,Negative
1454,L00011884,Negative,,Negative,Negative
1455,L00011885,Negative,,Negative,Negative
1456,L00011886,Negative,,Negative,Negative
1457,L00011887,Negative,,Negative,Negative
1458,L00011888,Negative,,Negative,Negative
1459,L00011889,Negative,,Negative,Negative
1460,L00011890,Negative,,Negative,Negative
1461,L00011891,Negative,,Negative,Negative
1462,L00011892,Negative,,Negative,Negative
1463,L00011893,Negative,,Negative,Negative
1464,L00011894,Positive,2.78E+03,Negative,Negative
1465,L00011895,Negative,,Negative,Negative
1466,L00011896,Negative,,Negative,Negative
1467,L00011897,Negative,,Negative,Negative
1468,L00011898,Negative,,Negative,Negative
1469,L00011899,Negative,,Negative,Negative
1470,L00011900,Negative,,Negative,Negative
1471,L00011901,Negative,,Negative,Negative
1472,L00011902,,,,
1473,L00011903,Negative,,Negative,Negative
1474,L00011904,Negative,,Negative,Negative
1475,L00011905,Negative,,Negative,Negative
1476,L00011906,Negative,,Negative,Negative
1477,L00011907,Negative,,Negative,Negative
1478,L00011908,Negative,,Negative,Negative
1479,L00011909,Negative,,Negative,Negative
1480,L00011910,Negative,,Negative,Negative
1481,L00011911,Negative,,Negative,Negative
1482,L00011912,Negative,,Negative,Negative
1483,L00011913,Negative,,Negative,Negative
1484,L00011914,Negative,,Negative,Negative
1485,L00011915,Negative,,Negative,Negative
1486,L00011916,Negative,,Negative,Negative
1487,L00011917,Negative,,Negative,Negative
1488,L00011918,Negative,,Negative,Negative
1489,L00011919,Negative,,Negative,Negative
1490,L00011920,Negative,,Negative,Negative
1491,L00011921,Negative,,Negative,Negative
1492,L00011922,Negative,,Negative,Negative
1493,L00011923,Negative,,Negative,Negative
1494,L00011924,Negative,,Negative,Negative
1495,L00011925,Negative,,Negative,Negative
1496,L00011926,Negative,,Negative,Negative
1497,L00011927,Negative,,Negative,Negative
1498,L00011928,Negative,,Negative,Negative
1499,L00011929,Negative,,Negative,Negative
1500,L00011930,Positive,1.49E+03,Negative,Negative
1501,L00011931,Negative,,Negative,Negative
1502,L00011932,Negative,,Negative,Negative
1503,L00011933,Negative,,Negative,Negative
1504,L00011934,Negative,,Negative,Negative
1505,L00011935,Negative,,Negative,Negative
1506,L00011936,Negative,,Negative,Negative
1507,L00011937,Negative,,Negative,Negative
1508,L00011938,Negative,,Negative,Negative
1509,L00011939,Negative,,Negative,Negative
1510,L00011940,Negative,,Negative,Negative
1511,L00011941,Negative,,Negative,Negative
1512,L00011942,Negative,,Negative,Negative
1513,L00011943,Negative,,Negative,Negative
1514,L00011944,Negative,,Negative,Negative
1515,L00011945,Negative,,Negative,Negative
1516,L00011946,Negative,,Negative,Negative
1517,L00011947,Negative,,Negative,Negative
1518,L00011948,Negative,,Negative,Negative
1519,L00011949,Negative,,Negative,Negative
1520,L00011950,Negative,,Negative,Negative
1521,L00011951,Negative,,Negative,Negative
1522,L00011952,Negative,,Negative,Negative
1523,L00011953,Negative,,Negative,Negative
1524,L00011954,Negative,,Negative,Negative
1525,L00011955,Negative,,Negative,Negative
1526,L00011956,Negative,,Negative,Negative
1527,L00011957,Negative,,Negative,Negative
1528,L00011958,Negative,,Negative,Negative
1529,L00011959,Negative,,Negative,Negative
1530,L00011960,Negative,,Negative,Negative
1531,L00011961,Negative,,Negative,Negative
1532,L00011962,Negative,,Negative,Negative
1533,L00011963,Negative,,Negative,Negative
1534,L00011964,Negative,,Negative,Negative
1535,L00011965,Negative,,Negative,Negative
1536,L00011966,Negative,,Negative,Negative
1537,L00011967,Negative,,Negative,Negative
1538,L00011968,Negative,,Negative,Negative
1539,L00011969,Negative,,Negative,Negative
1540,L00011970,Negative,,Negative,Negative
1541,L00011972,Negative,,Negative,Negative
1542,L00011973,Negative,,Negative,Negative
1543,L00011974,Negative,,Negative,Negative
1544,L00011975,Negative,,Negative,Negative
1545,L00011976,Negative,,Negative,Negative
