No,Animal_ID,Final_result,MERS_RNA_copiesPerml,Bionote_result,Viral Isolation
366,H08150169,Negative,,Negative,Negative
367,H08150168,Negative,,Negative,Negative
368,H08150167,Negative,,Negative,Negative
369,H08150166,Negative,,Negative,Negative
370,H08150165,Negative,,Negative,Negative
371,H08150164,Negative,,Negative,Negative
372,H08150163,Negative,,Negative,Negative
373,H08150162,Negative,,Negative,Negative
374,H08150161,Negative,,Negative,Negative
375,H08150160,Negative,,Negative,Negative
376,H08150159,Negative,,Negative,Negative
377,H08150158,Negative,,Negative,Negative
378,H08150157,Negative,,Negative,Negative
379,H08150156,Negative,,Negative,Negative
380,H08150155,Negative,,Negative,Negative
381,H08150154,Negative,,Negative,Negative
382,H08150153,Negative,,Negative,Negative
383,H08150152,Negative,,Negative,Negative
384,H08150151,Negative,,Negative,Negative
385,H08150150,Negative,,Negative,Negative
386,H08150149,Negative,,Negative,Negative
387,H08150148,Negative,,Negative,Negative
388,H08150147,Negative,,Negative,Negative
389,H08150142,Negative,,Negative,Negative
390,H08150141,Negative,,Negative,Negative
391,H08150140,Negative,,Negative,Negative
392,H08150139,Negative,,Negative,Negative
393,H08150138,Negative,,Negative,Negative
394,H08150137,Negative,,Negative,Negative
395,H08150136,Negative,,Negative,Negative
396,H08150135,Negative,,Negative,Negative
397,H08150134,Negative,,Negative,Negative
398,H08150133,Negative,,Negative,Negative
399,H08150132,Negative,,Negative,Negative
400,H08150131,Negative,,Negative,Negative
401,H08150130,Negative,,Negative,Negative
402,H08150129,Negative,,Negative,Negative
403,H08150128,Negative,,Negative,Negative
404,H08150127,Negative,,Negative,Negative
405,H08150126,Negative,,Negative,Negative
406,H08150125,Negative,,Negative,Negative
407,H08150124,Negative,,Negative,Negative
408,H08150123,Negative,,Negative,Negative
409,H08150122,Negative,,Negative,Negative
410,H08150121,Negative,,Negative,Negative
411,H08150120,Negative,,Negative,Negative
412,H08150119,Negative,,Negative,Negative
413,H08150118,Negative,,Negative,Negative
414,H08150117,Negative,,Negative,Negative
415,H08150116,Negative,,Negative,Negative
416,H08150115,Negative,,Negative,Negative
417,H08150114,Negative,,Negative,Negative
418,H08150113,Negative,,Negative,Negative
419,H08150112,Negative,,Negative,Negative
420,H08150111,Negative,,Negative,Negative
421,H08150110,Negative,,Negative,Negative
422,H08150109,Negative,,Negative,Negative
423,H08150108,Negative,,Negative,Negative
424,H08150107,Negative,,Negative,Negative
425,H08150106,Negative,,Negative,Negative
426,H08150105,Negative,,Negative,Negative
427,H08150104,Negative,,Negative,Negative
428,H08150103,Negative,,Negative,Negative
429,H08150102,Negative,,Negative,Negative
430,H08150101,Negative,,Negative,Negative
431,H08150100,Negative,,Negative,Negative
432,H08150099,Negative,,Negative,Negative
433,H08150098,Negative,,Negative,Negative
434,H08150097,Negative,,Negative,Negative
435,H08150096,Negative,,Negative,Negative
436,H08150095,Negative,,Negative,Negative
437,H08150094,Negative,,Negative,Negative
438,H08150093,Negative,,Negative,Negative
439,H08150092,Negative,,Negative,Negative
440,H08150091,Negative,,Negative,Negative
441,H08150090,Negative,,Negative,Negative
442,H08150089,Negative,,Negative,Negative
443,H08150088,Negative,,Negative,Negative
444,H08150087,Negative,,Negative,Negative
445,H08150086,Negative,,Negative,Negative
446,H08150085,Negative,,Negative,Negative
447,H08150084,Negative,,Negative,Negative
448,H08150083,Negative,,Negative,Negative
449,H08150082,Negative,,Negative,Negative
450,H08150081,Negative,,Negative,Negative
451,H08150080,Negative,,Negative,Negative
452,H08150079,Negative,,Negative,Negative
453,H08150078,Negative,,Negative,Negative
454,H08150077,Negative,,Negative,Negative
455,H08150076,Negative,,Negative,Negative
456,H08150075,Negative,,Negative,Negative
457,H08150074,Negative,,Negative,Negative
458,H08150073,Negative,,Negative,Negative
459,H08150072,Negative,,Negative,Negative
460,H08150071,Negative,,Negative,Negative
461,H08150070,Negative,,Negative,Negative
462,H08150069,Negative,,Negative,Negative
463,H08150068,Negative,,Negative,Negative
464,H08150067,Negative,,Negative,Negative
465,H08150066,Negative,,Negative,Negative
466,H08150065,Negative,,Negative,Negative
467,H08150064,Negative,,Negative,Negative
468,H08150063,Negative,,Negative,Negative
469,H08150062,Negative,,Negative,Negative
470,H08150061,Negative,,Negative,Negative
471,H08150060,Negative,,Negative,Negative
472,H08150059,Negative,,Negative,Negative
473,H08150058,Negative,,Negative,Negative
474,H08150057,Negative,,Negative,Negative
475,H08150056,Negative,,Negative,Negative
476,H08150055,Negative,,Negative,Negative
477,H08150054,Negative,,Negative,Negative
478,H08150053,Negative,,Negative,Negative
479,H08150052,Negative,,Negative,Negative
480,H08150051,Negative,,Negative,Negative
481,H08150050,Negative,,Negative,Negative
482,H08150049,Negative,,Negative,Negative
483,H08150048,Negative,,Negative,Negative
484,H08150047,Negative,,Negative,Negative
485,H08150046,Negative,,Negative,Negative
486,H08150045,Negative,,Negative,Negative
487,H08150044,Negative,,Negative,Negative
488,H08150043,Negative,,Negative,Negative
489,H08150042,Negative,,Negative,Negative
490,H08150041,Negative,,Negative,Negative
491,H08150040,Negative,,Negative,Negative
492,H08150039,Negative,,Negative,Negative
493,H08150038,Negative,,Negative,Negative
494,H08150037,Negative,,Negative,Negative
495,H08150036,Negative,,Negative,Negative
496,H08150035,Negative,,Negative,Negative
497,H08150034,Negative,,Negative,Negative
498,H08150033,Negative,,Negative,Negative
499,H08150032,Negative,,Negative,Negative
500,H08150031,Negative,,Negative,Negative
501,H08150030,Negative,,Negative,Negative
502,H08150029,Negative,,Negative,Negative
503,H08150028,Negative,,Negative,Negative
504,H08150027,Negative,,Negative,Negative
505,H08150026,Negative,,Negative,Negative
506,H08150025,Negative,,Negative,Negative
507,H08150024,Negative,,Negative,Negative
508,H08150023,Negative,,Negative,Negative
509,H08150022,Negative,,Negative,Negative
510,H08150021,Negative,,Negative,Negative
511,H08150020,Negative,,Negative,Negative
512,H08150019,Negative,,Negative,Negative
513,H08150018,Negative,,Negative,Negative
514,H08150017,Negative,,Negative,Negative
515,H08150016,Negative,,Negative,Negative
516,H08150015,Negative,,Negative,Negative
517,H08150014,Negative,,Negative,Negative
518,H08150013,Negative,,Negative,Negative
519,H08150012,Negative,,Negative,Negative
520,H08150011,Negative,,Negative,Negative
521,H08150007,Negative,,Negative,Negative
522,H08150006,Negative,,Negative,Negative
523,H08150002,Negative,,Negative,Negative
524,Z00833387,Negative,,Negative,Negative
525,Z00833880,Negative,,Negative,Negative
526,Z00833890,Negative,,Negative,Negative
527,Z00833900,Negative,,Negative,Negative
528,Z00833910,Negative,,Negative,Negative
529,Z00833920,Negative,,Negative,Negative
530,Z00833930,Negative,,Negative,Negative
531,Z00833940,Negative,,Negative,Negative
532,Z00833950,Negative,,Negative,Negative
533,Z00833960,Negative,,Negative,Negative
534,Z00833970,Negative,,Negative,Negative
535,Z00833980,Negative,,Negative,Negative
536,Z00833990,Negative,,Negative,Negative
537,Z00833400,Negative,,Negative,Negative
538,Z00834010,Negative,,Negative,Negative
539,Z00834020,Negative,,Negative,Negative
540,Z00834030,Negative,,Negative,Negative
541,Z00834040,Negative,,Negative,Negative
542,Z00834050,Negative,,Negative,Negative
543,Z00834060,Negative,,Negative,Negative
544,Z00834070,Negative,,Negative,Negative
545,Z00834080,Negative,,Negative,Negative
546,Z00834090,Negative,,Negative,Negative
547,Z00834100,Negative,,Negative,Negative
548,Z00834110,Negative,,Negative,Negative
549,Z00834120,Negative,,Negative,Negative
550,Z00834130,Negative,,Negative,Negative
551,Z00834140,Negative,,Negative,Negative
552,Z00834150,Negative,,Negative,Negative
553,Z00834160,Negative,,Negative,Negative
554,Z00834170,Negative,,Negative,Negative
555,Z00834180,Negative,,Negative,Negative
556,Z00834190,Negative,,Negative,Negative
557,Z00834200,Negative,,Negative,Negative
558,Z00834210,Negative,,Negative,Negative
559,Z00834220,Negative,,Negative,Negative
560,Z00834230,Negative,,Negative,Negative
561,Z00834240,Negative,,Negative,Negative
562,Z00834250,Negative,,Negative,Negative
563,Z00834260,Negative,,Negative,Negative
564,Z00834270,Negative,,Negative,Negative
565,Z00834280,Negative,,Negative,Negative
566,Z00834290,Negative,,Negative,Negative
567,Z00834300,Negative,,Negative,Negative
568,Z00834310,Negative,,Negative,Negative
569,Z00834320,Negative,,Negative,Negative
570,Z00834330,Negative,,Negative,Negative
571,Z00834340,Negative,,Negative,Negative
572,Z00834350,Negative,,Negative,Negative
573,Z00834360,Negative,,Negative,Negative
574,Z00834370,Negative,,Negative,Negative
575,Z00834380,Negative,,Negative,Negative
576,L00011389,Negative,,Negative,Negative
577,L00011388,Negative,,Negative,Negative
578,L00011387,Negative,,Negative,Negative
579,L00011386,Negative,,Negative,Negative
580,L00011385,Negative,,Negative,Negative
581,L00011384,Negative,,Negative,Negative
582,L00011383,Negative,,Negative,Negative
583,L00011382,Negative,,Negative,Negative
584,L00011381,Negative,,Negative,Negative
585,L00011380,Negative,,Negative,Negative
586,L00011379,Negative,,Negative,Negative
587,L00011378,Negative,,Negative,Negative
588,L00011377,Negative,,Negative,Negative
589,L00011377,Negative,,Negative,Negative
590,L00011375,Negative,,Negative,Negative
591,L00011374,Negative,,Negative,Negative
592,L00011373,Negative,,Negative,Negative
593,L00011372,Negative,,Negative,Negative
594,L00011371,Negative,,Negative,Negative
595,L00011370,Negative,,Negative,Negative
596,L00011369,Negative,,Negative,Negative
597,L00011368,Negative,,Negative,Negative
598,L00011367,Negative,,Negative,Negative
599,L00011366,Negative,,Negative,Negative
600,Z00834390,Negative,,Negative,Negative
601,Z00834400,Negative,,Negative,Negative
602,Z00834410,Negative,,Negative,Negative
603,Z00834420,Negative,,Negative,Negative
604,Z00834430,Negative,,Negative,Negative
605,Z00834440,Negative,,Negative,Negative
606,Z00834450,Negative,,Negative,Negative
607,Z00834460,Negative,,Negative,Negative
608,Z00834470,Negative,,Negative,Negative
609,Z00834480,Negative,,Negative,Negative
610,Z00834490,Negative,,Negative,Negative
611,L00011365,Negative,,Negative,Negative
612,L00011364,Negative,,Negative,Negative
613,L00011363,Negative,,Negative,Negative
